"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
244,14,7442.4,8776.8,83,85.4,32.3,6.8,35.5
245,14,9280.9,8201.5,139.7,205.2,31.3,8.7,44.3
246,14,9615.4,2018.3,147.9,388.5,29.3,8.4,27
247,14,9799.3,5220.4,126.1,144.8,29.5,7.4,45
248,14,13531.9,8373,204.2,373.6,27.5,7.8,45.3
249,14,13696.8,2936.1,169.2,366.5,27.5,8.4,35.4
250,14,16289.6,7580,131.8,165,30.5,7.7,44.4
251,14,19610.7,1294.3,172.9,218.4,29.1,7.1,51.1
252,14,21510.7,1626,88.7,89.2,30.4,8.4,44
253,14,21572.8,10300.3,145.6,1092.6,32.9,7.3,10.7
254,14,25199.7,4777.4,107.6,148.5,29.5,8,36.3
255,14,29770.5,11544.5,205,222.3,26,7.3,69.4
256,14,30783.5,12283.7,167.9,323.3,27.3,7.6,36.1
257,15,1658,2062.9,136.9,193.9,29.2,7.8,41.5
258,15,1676.7,4062,167.2,470.1,30.4,7.7,26.3
259,15,5315.7,1743.7,152,321.7,33.2,8.6,33.8
260,15,6411.5,4070.2,156.7,821.6,29.7,9.1,16.7
261,15,7349.4,8742.8,113.9,94.7,31.4,5.5,44.4
262,15,9356.6,8219.5,182.9,242.6,28.7,6.1,45.8
263,15,9617.5,1985,141,440.8,30.6,7.4,20.7
264,15,9835.7,5190.7,128.7,190.4,28.9,7.3,36
265,15,13569.5,8309.1,138.7,227.8,31.4,8.2,38.3
266,15,13736.3,2993.3,133.6,435.5,33.2,7.6,19.6
267,15,16232,7673.2,212.7,335.7,26.3,7.4,51.6
268,15,19391.3,8150.1,82.7,113.5,29.2,7.8,30.2
269,15,19544.1,1300,120.9,135.5,27.6,7.2,43.6
270,15,21675.6,1635.4,106,108.9,26.7,6.8,41.2
271,15,21637.2,10394,158.4,981.8,30,9.6,15.2
272,15,25296.1,4823.7,101.1,141.8,29.8,7.8,33.6
273,15,30719.8,12292.9,112.4,111.2,28.3,7.4,47.3
274,16,1696.6,2101.9,160.5,276.4,27.1,8.7,42.8
275,16,1695.7,4091,147.8,425.6,31.6,7.6,23.3
276,16,5411.4,5862.1,321.4,497.6,24.1,7.7,77.7
277,16,5376.4,1687.7,204.7,288.1,14.1,7.5,55.9
278,16,5049.6,1249.4,43.4,89,14.1,7.5,16.8
279,16,6425.6,4065.8,142.6,690.2,32.7,8.3,15.8
280,16,9276.2,8198.2,54.3,107.3,31.9,6,15.9
281,16,9639.2,1997.8,171.9,517.5,28.8,7.8,25.6
282,16,13568.8,8348.5,132.1,201.6,29.1,7.4,36.2
283,16,13720.2,3024.8,162.7,522.6,32.4,8,23.6
284,16,16264.4,7608.6,164.6,335.1,29.8,9.1,39
285,16,21668.9,10447.8,150.9,728.7,30.8,8.4,16.5
286,16,28082,11737.8,185.3,180.2,24.7,6.7,65.9
287,17,1797.4,2281.4,164.5,255.1,30.1,6.8,39.5
288,17,1809.2,3962.2,180.6,670.1,28.1,7.3,21.5
289,17,5455.3,1578.8,183.2,283.3,31.8,6.9,44
290,17,6447.8,4055.9,128.1,711.1,31.9,8.2,13.1
291,17,7329.5,8777.4,144.1,138.7,28,6.2,50.8
292,17,9319.1,8130.1,164.8,262.9,28.4,6.6,37.8
293,17,9621.7,1984.2,131.8,389.6,31,6.6,19.3
294,17,9740.7,5283.8,100,107.4,30.9,6.4,36.2
295,17,13503.1,8460.8,100,166.1,30.8,7.4,27.7
296,17,13844.3,3056.4,130.6,452.7,30.8,7,17.4
297,17,16298.8,7530.5,168.9,593.5,31,9.1,24.7
298,17,19623.7,1232,338.1,925.3,16.7,8.2,50.9
299,17,21673.7,10519.9,167.6,622.3,29.1,7.2,20
300,17,25225.9,4779.5,112.6,133.3,29.2,7,38.8
301,17,25349.3,13095.9,220.2,261,22.9,6,57.7
302,17,30755.2,12378.5,293.9,531.7,20.6,4.6,42.2
303,18,1667.7,2334.6,188.2,402.4,26,7.1,34.4
304,18,1867.7,3844,132.9,423.2,34,9.6,23.4
305,18,6424,4071.7,142.2,834.8,29,7.2,12.6
